Version,Date,Commit,Summary,Changes
v0.1.0,2026-03-31,3948de0,Initial commit,Project initialization
v0.2.0,2026-04-02,75b8c2c,Course development dashboard and worksheet app,"Core app structure; sidebar navigation; module design views; course info; CLO/ELO pairs; timeline; document preview/export"
v0.3.0,2026-04-02,8d48067,GitHub Pages deployment,"Added deployment workflow for GitHub Pages hosting"
v0.4.0,2026-04-02,3bf7a0a,Supabase commenting and course configs,"Supabase real-time commenting system; course configuration cleanup; multi-course support"
v0.5.0,2026-04-02,6923c05,Inline text-highlight commenting,"Text selection highlighting with comment threads; URL-based auto-identity for commenters"
v0.6.0,2026-04-02,43e80af,Send Worksheet Link button,"Dashboard button to share worksheet link with faculty"
v0.7.0,2026-04-02,8e2dd06,Index redirect and favicon,"index.html redirect to dashboard; custom ASU burgundy favicon"
v1.0.0,2026-04-02,5658036,Stable baseline release,"Bug fixes: commenting UX and data persistence; text entry tab in activity content areas; add activity button; comments posting to Supabase; export/download document; textbook field population; favicon update. Established CHANGELOG.md"
v1.1.0,2026-04-02,0c783ea,Data model and overview pages,"Activity/material data model with localStorage persistence; assignments overview with card/table toggle and cross-module drag; materials overview with card/table toggle and cross-module drag; content accordion UX improvements; switchAttachTab nesting fix"
v1.2.0,2026-04-02,(pending),Overview enhancements and quiz builder,"Fix: accordion collapse when adding activity (cards stay open). Fix: cross-container text highlighting. Objectives: interactive objective picker in assignment overview; hover tooltips showing full objective text; course objectives (CLO/ELO) accordion at top of page; module MLO accordion in each card. Content: inline upload/link/template expansion in assignment and materials overview; template dropdown (Discussion/Assignment/Quiz/Blank Page); Google Drive export button on all templates. Quiz: modern interactive quiz builder with question cards; multiple choice/true-false/short answer types; correct answer toggle; per-question feedback fields; AI quiz question generation via Claude API. Rubrics: AI-powered rubric generation (Canvas-compatible format); rubric section added to discussion template. Accessibility: upload zones show PowerPoint vs PDF guidance and heading/alt-text tips"
